Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
18048/18013    0.006    0.000    0.015    0.000 {built-in method builtins.hasattr}
     3865    0.006    0.000    0.018    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_ufunc_config.py:410(__enter__)
       14    0.006    0.000    0.014    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/csvs.py:315(_save_chunk)
     4082    0.006    0.000    1.106    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1807(f)
8689/8682    0.005    0.000    0.017    0.000 {built-in method builtins.all}
      287    0.005    0.000    0.035    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:475(__new__)
    22846    0.005    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/common.py:152(cast_scalar_indexer)
     4196    0.005    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:6284(__getattr__)
    16036    0.005    0.000    0.009    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1590(<genexpr>)
     3862    0.005    0.000    0.451    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:6133(_arith_method)
     1506    0.005    0.000    0.030    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_exceptions.py:34(find_stack_level)
     4732    0.005    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pycountry/db.py:156(get)
38111/37975    0.005    0.000    0.005    0.000 {built-in method builtins.hash}
       68    0.005    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/strings/accessor.py:207(_validate)
     3878    0.005    0.000    0.958    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
    34444    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
    13746    0.005    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/common.py:372(apply_if_callable)
     8513    0.005    0.000    0.025    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
      561    0.005    0.000    0.066    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     8181    0.004    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1253(iget)
     3862    0.004    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:6137(_align_for_op)
    12248    0.004    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1837(__init__)
     4619    0.004    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/construction.py:696(_sanitize_ndim)
    467/1    0.004    0.000   75.104   75.104 {built-in method builtins.exec}
5998/5909    0.004    0.000    0.005    0.000 {built-in method numpy.asarray}
